accession,display_name,tax_id,parent_tax_id,sci_name,strain,title,submission_date,seq_length,assembly_level
GCF_000972175.1,CLC6_0_3,1397690,317659,Pseudomonas syringae pv. coryli str. NCPPB 4273,NCPPB 4273,Pseudomonas syringae pv. coryli str. NCPPB 4273,2015-04-15,6096328,Contig
GCF_001400235.1,PcrICMP17001,317659,251698,Pseudomonas syringae pv. coryli,ICMP17001,Pseudomonas syringae pv. coryli,2015-10-20,5965988,Scaffold
GCF_900289095.1,CFBP3800chr,251701,136849,Pseudomonas syringae group genomosp. 3,CFBP 3800,Pseudomonas syringae group genomosp. 3,2018-07-01,6450157,Contig
GCF_900235905.1,CFBP6411,251701,136849,Pseudomonas syringae group genomosp. 3,,Pseudomonas syringae group genomosp. 3,2018-01-30,6363674,Complete Genome
GCF_002906035.1,ASM290603v1,251701,136849,Pseudomonas syringae group genomosp. 3,9643,Pseudomonas syringae group genomosp. 3,2018-01-29,5937102,Contig
GCF_003703315.1,ASM370331v1,251702,251701,Pseudomonas syringae pv. antirrhini,ICMP 2813,Pseudomonas syringae pv. antirrhini,2018-10-30,6244296,Scaffold
GCF_003700935.1,ASM370093v1,251702,251701,Pseudomonas syringae pv. antirrhini,ICMP 4453,Pseudomonas syringae pv. antirrhini,2018-10-30,6241548,Scaffold
GCF_003700135.1,ASM370013v1,251702,251701,Pseudomonas syringae pv. antirrhini,ICMP 4959,Pseudomonas syringae pv. antirrhini,2018-10-30,6178613,Scaffold
GCF_001401395.1,PatICMP4303,251702,251701,Pseudomonas syringae pv. antirrhini,ICMP4303,Pseudomonas syringae pv. antirrhini,2015-10-20,6132047,Scaffold
GCF_003702425.1,ASM370242v1,81036,251701,Pseudomonas syringae pv. apii,ICMP 11947,Pseudomonas syringae pv. apii,2018-10-30,5826748,Scaffold
GCF_003699805.1,ASM369980v1,81036,251701,Pseudomonas syringae pv. apii,ICMP 1657,Pseudomonas syringae pv. apii,2018-10-30,6132314,Scaffold
GCF_003699225.1,ASM369922v1,81036,251701,Pseudomonas syringae pv. apii,1089_5,Pseudomonas syringae pv. apii,2018-10-30,6194328,Scaffold
GCF_003699175.1,ASM369917v1,81036,251701,Pseudomonas syringae pv. apii,ICMP 1659,Pseudomonas syringae pv. apii,2018-10-30,6120867,Scaffold
GCF_001401385.1,PapICMP2814,81036,251701,Pseudomonas syringae pv. apii,ICMP2814,Pseudomonas syringae pv. apii,2015-10-20,6054298,Scaffold
GCF_003701105.1,ASM370110v1,251704,251701,Pseudomonas syringae pv. berberidis,ICMP 4065,Pseudomonas syringae pv. berberidis,2018-10-30,6289582,Scaffold
GCF_003700975.1,ASM370097v1,251704,251701,Pseudomonas syringae pv. berberidis,ICMP 13291,Pseudomonas syringae pv. berberidis,2018-10-30,6279591,Scaffold
GCF_003699555.1,ASM369955v1,251704,251701,Pseudomonas syringae pv. berberidis,ICMP 8899,Pseudomonas syringae pv. berberidis,2018-10-30,6134601,Scaffold
GCF_001401405.1,PbbICMP4116,251704,251701,Pseudomonas syringae pv. berberidis,ICMP4116,Pseudomonas syringae pv. berberidis,2015-10-20,6263211,Scaffold
GCF_003702115.1,ASM370211v1,264453,251701,Pseudomonas syringae pv. coriandricola,ICMP 9829,Pseudomonas syringae pv. coriandricola,2018-10-30,6379786,Scaffold
GCF_003701405.1,ASM370140v1,264453,251701,Pseudomonas syringae pv. coriandricola,ICMP 9625,Pseudomonas syringae pv. coriandricola,2018-10-30,6317637,Scaffold
GCF_003699105.1,ASM369910v1,264453,251701,Pseudomonas syringae pv. coriandricola,ICMP 12341,Pseudomonas syringae pv. coriandricola,2018-10-30,5992156,Scaffold
GCF_001400185.1,PcdICMP12471,264453,251701,Pseudomonas syringae pv. coriandricola,ICMP12471,Pseudomonas syringae pv. coriandricola,2015-10-20,5841044,Scaffold
GCF_003701115.1,ASM370111v1,192088,251701,Pseudomonas syringae pv. delphinii,ICMP 13052,Pseudomonas syringae pv. delphinii,2018-10-30,6582238,Scaffold
GCF_003700855.1,ASM370085v1,192088,251701,Pseudomonas syringae pv. delphinii,ICMP 5014,Pseudomonas syringae pv. delphinii,2018-10-30,6109089,Scaffold
GCF_003700105.1,ASM370010v1,192088,251701,Pseudomonas syringae pv. delphinii,ICMP 4330,Pseudomonas syringae pv. delphinii,2018-10-30,6198122,Scaffold
GCF_001400335.1,PdpICMP529,192088,251701,Pseudomonas syringae pv. delphinii,ICMP529,Pseudomonas syringae pv. delphinii,2015-10-20,6143857,Scaffold
GCF_003702755.1,ASM370275v1,59511,251701,Pseudomonas syringae pv. maculicola,ICMP 11281,Pseudomonas syringae pv. maculicola,2018-10-30,6314757,Scaffold
GCF_003700765.1,ASM370076v1,59511,251701,Pseudomonas syringae pv. maculicola,ICMP 2744,Pseudomonas syringae pv. maculicola,2018-10-30,6239749,Scaffold
GCF_003699635.1,ASM369963v1,59511,251701,Pseudomonas syringae pv. maculicola,4981,Pseudomonas syringae pv. maculicola,2018-10-30,6408086,Scaffold
GCF_001400855.1,PmaICMP3935,59511,251701,Pseudomonas syringae pv. maculicola,ICMP 3935,Pseudomonas syringae pv. maculicola,2015-10-20,6063860,Scaffold
GCF_001294305.1,PmaM4a,59511,251701,Pseudomonas syringae pv. maculicola,M4a,Pseudomonas syringae pv. maculicola,2015-09-18,6435785,Scaffold
GCF_001294185.1,PmaKN91,59511,251701,Pseudomonas syringae pv. maculicola,KN91,Pseudomonas syringae pv. maculicola,2015-09-18,5942801,Scaffold
GCF_001293925.1,PmaH7608,59511,251701,Pseudomonas syringae pv. maculicola,H7608,Pseudomonas syringae pv. maculicola,2015-09-18,6304586,Contig
GCF_001293855.1,Pma90_32,59511,251701,Pseudomonas syringae pv. maculicola,90_32,Pseudomonas syringae pv. maculicola,2015-09-18,6252044,Scaffold
GCF_001293575.1,PmaYM7930,59511,251701,Pseudomonas syringae pv. maculicola,YM7930,Pseudomonas syringae pv. maculicola,2015-09-18,5914337,Scaffold
GCF_000935725.1,PSMCFBP1657-G1,59511,251701,Pseudomonas syringae pv. maculicola,CFBP 1657,Pseudomonas syringae pv. maculicola,2015-03-02,6058456,Scaffold
GCA_016599655.1,ASM1659965v1,59511,251701,Pseudomonas syringae pv. maculicola,MAFF 302723,Pseudomonas syringae pv. maculicola,2021-01-11,6419483,Complete Genome
GCF_000145845.2,ASM14584v2,629265,59511,Pseudomonas syringae pv. maculicola str. ES4326,ES4326,Pseudomonas syringae pv. maculicola str. ES4326,2020-01-13,6593626,Complete Genome
GCF_001294165.1,PmaM6,698750,59511,Pseudomonas syringae pv. maculicola str. M6,M6,Pseudomonas syringae pv. maculicola str. M6,2015-09-18,5923510,Contig
GCF_900235855.1,CFBP1573P,237306,251701,Pseudomonas syringae pv. persicae,,Pseudomonas syringae pv. persicae,2018-01-30,6460112,Contig
GCF_900235805.1,NCPPB 2254,237306,251701,Pseudomonas syringae pv. persicae,,Pseudomonas syringae pv. persicae,2018-01-30,6423988,Contig
GCF_003701365.1,ASM370136v1,237306,251701,Pseudomonas syringae pv. persicae,ICMP 5786,Pseudomonas syringae pv. persicae,2018-10-30,6099618,Scaffold
GCF_003700805.1,ASM370080v1,237306,251701,Pseudomonas syringae pv. persicae,ICMP 3706,Pseudomonas syringae pv. persicae,2018-10-30,6292137,Scaffold
GCF_000980905.1,ASM98090v1,237306,251701,Pseudomonas syringae pv. persicae,NCPPB 2254,Pseudomonas syringae pv. persicae,2015-04-24,6341226,Contig
GCF_003700065.1,ASM370006v1,251706,251701,Pseudomonas syringae pv. philadelphi,ICMP 8902,Pseudomonas syringae pv. philadelphi,2018-10-30,6159488,Scaffold
GCF_001400595.1,PpdICMP8903,251706,251701,Pseudomonas syringae pv. philadelphi,ICMP8903,Pseudomonas syringae pv. philadelphi,2015-10-20,6150269,Scaffold
GCF_003702245.1,ASM370224v1,251707,251701,Pseudomonas syringae pv. primulae,ICMP 18417,Pseudomonas syringae pv. primulae,2018-10-30,6358112,Scaffold
GCF_003700345.1,ASM370034v1,251707,251701,Pseudomonas syringae pv. primulae,ICMP 8670,Pseudomonas syringae pv. primulae,2018-10-30,6275124,Scaffold
GCF_003700055.1,ASM370005v1,251707,251701,Pseudomonas syringae pv. primulae,ICMP 2732,Pseudomonas syringae pv. primulae,2018-10-30,6379259,Scaffold
GCF_001400635.1,PprICMP3956,251707,251701,Pseudomonas syringae pv. primulae,ICMP3956,Pseudomonas syringae pv. primulae,2015-10-20,5894791,Scaffold
GCF_003698905.1,ASM369890v1,55398,251701,Pseudomonas syringae pv. ribicola,ICMP 3883,Pseudomonas syringae pv. ribicola,2018-10-30,6130633,Scaffold
GCF_001400955.1,PriICMP3882,55398,251701,Pseudomonas syringae pv. ribicola,ICMP3882,Pseudomonas syringae pv. ribicola,2015-10-20,5892840,Scaffold
GCF_015865025.1,ASM1586502v1,323,251701,Pseudomonas syringae pv. tomato,Pst235,Pseudomonas syringae pv. tomato,2020-12-08,6945008,Scaffold
GCF_009800225.1,ASM980022v1,323,251701,Pseudomonas syringae pv. tomato,delta X,Pseudomonas syringae pv. tomato,2019-12-26,6397114,Complete Genome
GCF_009800205.1,ASM980020v1,323,251701,Pseudomonas syringae pv. tomato,"delta IV,IX",Pseudomonas syringae pv. tomato,2019-12-26,6397109,Chromosome
GCF_009800185.1,ASM980018v1,323,251701,Pseudomonas syringae pv. tomato,delta VI,Pseudomonas syringae pv. tomato,2019-12-26,6397110,Chromosome
GCF_004376045.1,ASM437604v1,323,251701,Pseudomonas syringae pv. tomato,BRIP38746,Pseudomonas syringae pv. tomato,2019-03-25,6335852,Contig
GCF_004376015.1,ASM437601v1,323,251701,Pseudomonas syringae pv. tomato,BRIP66810,Pseudomonas syringae pv. tomato,2019-03-25,6494265,Contig
GCF_004376005.1,ASM437600v1,323,251701,Pseudomonas syringae pv. tomato,BRIP66796,Pseudomonas syringae pv. tomato,2019-03-25,6215727,Contig
GCF_003702935.1,ASM370293v1,323,251701,Pseudomonas syringae pv. tomato,ICMP 2841,Pseudomonas syringae pv. tomato,2018-10-30,6140320,Scaffold
GCF_003701235.1,ASM370123v1,323,251701,Pseudomonas syringae pv. tomato,ICMP 4263,Pseudomonas syringae pv. tomato,2018-10-30,6276578,Scaffold
GCF_003701175.1,ASM370117v1,323,251701,Pseudomonas syringae pv. tomato,ICMP 7230,Pseudomonas syringae pv. tomato,2018-10-30,6272276,Scaffold
GCF_002966555.1,ASM296655v1,323,251701,Pseudomonas syringae pv. tomato,B13-200,Pseudomonas syringae pv. tomato,2018-03-02,6523367,Complete Genome
GCF_002024925.1,ASM202492v1,323,251701,Pseudomonas syringae pv. tomato,PT23,Pseudomonas syringae pv. tomato,2017-03-13,6277063,Contig
GCF_001518695.1,ASM151869v1,323,251701,Pseudomonas syringae pv. tomato,407,Pseudomonas syringae pv. tomato,2016-01-19,6261069,Contig
GCF_001518465.1,ASM151846v1,323,251701,Pseudomonas syringae pv. tomato,A9,Pseudomonas syringae pv. tomato,2016-01-19,6309086,Contig
GCF_001401135.1,PtoICMP2844,323,251701,Pseudomonas syringae pv. tomato,ICMP 2844,Pseudomonas syringae pv. tomato,2015-10-20,6261430,Scaffold
GCF_000765305.1,ASM76530v1,323,251701,Pseudomonas syringae pv. tomato,NYS-T1,Pseudomonas syringae pv. tomato,2014-12-31,6259936,Scaffold
GCF_000177455.1,ASM17745v1,673189,323,Pseudomonas syringae pv. tomato K40,K40,Pseudomonas syringae pv. tomato K40,2010-02-04,6153658,Contig
GCF_000177475.1,ASM17747v1,673198,323,Pseudomonas syringae pv. tomato Max13,Max13,Pseudomonas syringae pv. tomato Max13,2010-01-25,6105073,Contig
GCF_000177495.1,ASM17749v1,673265,323,Pseudomonas syringae pv. tomato NCPPB 1108,NCPPB 1108,Pseudomonas syringae pv. tomato NCPPB 1108,2010-02-04,6082048,Contig
GCF_000007805.1,ASM780v1,223283,323,Pseudomonas syringae pv. tomato str. DC3000,DC3000,Pseudomonas syringae pv. tomato str. DC3000,2003-03-05,6538260,Complete Genome
GCF_000172895.1,ASM17289v1,546231,323,Pseudomonas syringae pv. tomato T1,T1,Pseudomonas syringae pv. tomato T1,2008-11-21,6145942,Contig
GCF_001401175.1,PviICMP3963,251703,251701,Pseudomonas syringae pv. viburni,ICMP3963,Pseudomonas syringae pv. viburni,2015-10-20,6405504,Scaffold
GCF_000935765.1,PSVCFBP1702-G1,251703,251701,Pseudomonas syringae pv. viburni,CFBP 1702,Pseudomonas syringae pv. viburni,2015-03-02,6492303,Contig
GCF_003701315.1,ASM370131v1,251654,251699,Pseudomonas syringae pv. helianthi,ICMP 3549,Pseudomonas syringae pv. helianthi,2018-10-30,6053458,Scaffold
GCF_003703055.1,ASM370305v1,251654,251699,Pseudomonas syringae pv. helianthi,ICMP 3263,Pseudomonas syringae pv. helianthi,2018-10-30,6047246,Scaffold
GCF_001400835.1,PheICMP4531,251654,251699,Pseudomonas syringae pv. helianthi,ICMP 4531,Pseudomonas syringae pv. helianthi,2015-10-20,6208545,Scaffold
GCF_003703295.1,ASM370329v1,129140,251699,Pseudomonas syringae pv. tagetis,ICMP 6369,Pseudomonas syringae pv. tagetis,2018-10-30,6049904,Scaffold
GCF_003702855.1,ASM370285v1,129140,251699,Pseudomonas syringae pv. tagetis,ICMP 11161,Pseudomonas syringae pv. tagetis,2018-10-30,6027727,Scaffold
GCF_003700835.1,ASM370083v1,129140,251699,Pseudomonas syringae pv. tagetis,ICMP 4092,Pseudomonas syringae pv. tagetis,2018-10-30,5956520,Scaffold
GCF_001401315.1,PtgICMP4091,129140,251699,Pseudomonas syringae pv. tagetis,ICMP 4091,Pseudomonas syringae pv. tagetis,2015-10-20,6042399,Scaffold
GCF_000452765.1,CC1513_092313_2.0,200454,136849,Pseudomonas tremae,CC1513,Pseudomonas tremae,2013-11-27,5725032,Contig
GCF_001401155.1,PtrICMP9151,200454,136849,Pseudomonas tremae,ICMP9151,Pseudomonas tremae,2015-10-20,5929145,Scaffold
GCF_000452645.1,CC1629_092313_2.0,200454,136849,Pseudomonas tremae,CC1629,Pseudomonas tremae,2013-11-27,5932928,Contig
GCF_900184295.1,Chr_1,33069,136849,Pseudomonas viridiflava,CFBP 1590,Pseudomonas viridiflava,2017-06-13,6093513,Complete Genome
GCF_900602995.1,p9.H7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6087713,Contig
GCF_900602985.1,p9.H5,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6003708,Contig
GCF_900602975.1,p9.H8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5579508,Contig
GCF_900602965.1,p9.H4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6000201,Contig
GCF_900602955.1,p9.H6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6083308,Contig
GCF_900602945.1,p9.H1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5988172,Contig
GCF_900602935.1,p9.G5,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5981615,Contig
GCF_900602925.1,p9.G8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6085496,Contig
GCF_900602915.1,p9.H3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6100895,Contig
GCF_900602905.1,p9.H10,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6258646,Contig
GCF_900602895.1,p9.H2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6724764,Contig
GCF_900602885.1,p9.G7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6136974,Contig
GCF_900602875.1,p9.G6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5992429,Contig
GCF_900602865.1,p9.G4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6148627,Contig
GCF_900602855.1,p9.F7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6055514,Contig
GCF_900602845.1,p9.F9,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5980332,Contig
GCF_900602835.1,p9.G10,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6253517,Contig
GCF_900602825.1,p9.G12,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5860969,Contig
GCF_900602815.1,p9.G2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5988574,Contig
GCF_900602805.1,p9.F8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6252431,Contig
GCF_900602795.1,p9.G1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6005121,Contig
GCF_900602785.1,p9.F5,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6061919,Contig
GCF_900602775.1,p9.G3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5981969,Contig
GCF_900602765.1,p9.F6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6060210,Contig
GCF_900602755.1,p9.F3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5984577,Contig
GCF_900602745.1,p9.E8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5947834,Contig
GCF_900602735.1,p9.F2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5975133,Contig
GCF_900602725.1,p9.E9,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5974797,Contig
GCF_900602715.1,p9.F4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5961955,Contig
GCF_900602705.1,p9.E6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5876848,Contig
GCF_900602695.1,p9.F10,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5975991,Contig
GCF_900602685.1,p9.F11,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5984954,Contig
GCF_900602675.1,p9.F1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6152211,Contig
GCF_900602665.1,p9.E7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6063549,Contig
GCF_900602655.1,p9.D8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5952795,Contig
GCF_900602645.1,p9.E11,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5983385,Contig
GCF_900602635.1,p9.E10,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5976404,Contig
GCF_900602625.1,p9.E2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5976013,Contig
GCF_900602615.1,p9.E1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5955099,Contig
GCF_900602605.1,p9.E3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5983034,Contig
GCF_900602595.1,p9.E4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5971930,Contig
GCF_900602585.1,p9.D9,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5958127,Contig
GCF_900602575.1,p9.D7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6003551,Contig
GCF_900602565.1,p9.E5,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5843628,Contig
GCF_900602555.1,p9.D3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6286361,Contig
GCF_900602545.1,p9.D10,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6507409,Contig
GCF_900602535.1,p9.D12,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5966543,Contig
GCF_900602525.1,p9.D4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6202845,Contig
GCF_900602515.1,p9.D5,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5847308,Contig
GCF_900602505.1,p9.D1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5980405,Contig
GCF_900602495.1,p9.D2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5990255,Contig
GCF_900602485.1,p9.D6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5844899,Contig
GCF_900602475.1,p9.C8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5954434,Contig
GCF_900602465.1,p9.C9,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5948409,Contig
GCF_900602455.1,p9.C11,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5950731,Contig
GCF_900602445.1,p9.C5,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5844295,Contig
GCF_900602435.1,p9.C12,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6042194,Contig
GCF_900602425.1,p9.C1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5985060,Contig
GCF_900602415.1,p9.C3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5963769,Contig
GCF_900602405.1,p9.C7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5978781,Contig
GCF_900602395.1,p9.C6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5850086,Contig
GCF_900602385.1,p9.C4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6621003,Contig
GCF_900602375.1,p9.C2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6159077,Contig
GCF_900602365.1,p9.C10,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5948598,Contig
GCF_900602355.1,p9.B12,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6104741,Contig
GCF_900602345.1,p9.B4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5953843,Contig
GCF_900602335.1,p9.B9,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5986072,Contig
GCF_900602325.1,p9.B6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5949370,Contig
GCF_900602315.1,p9.B3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6271481,Contig
GCF_900602305.1,p9.B5,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5845734,Contig
GCF_900602295.1,p9.B1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6040294,Contig
GCF_900602285.1,p9.B2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6033948,Contig
GCF_900602275.1,p9.B7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5949404,Contig
GCF_900602265.1,p9.B8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6017641,Contig
GCF_900602255.1,p9.A7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5953712,Contig
GCF_900602245.1,p9.A8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6016166,Contig
GCF_900602235.1,p9.A5,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5848748,Contig
GCF_900602225.1,p9.A9,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6150992,Contig
GCF_900602215.1,p9.A6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5948631,Contig
GCF_900602205.1,p9.A4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5951463,Contig
GCF_900602195.1,p9.B11,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6071153,Contig
GCF_900602185.1,p9.A3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6026220,Contig
GCF_900602175.1,p9.B10,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5995371,Contig
GCF_900602165.1,p9.A11,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6073640,Contig
GCF_900602155.1,p8.H5,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6099672,Contig
GCF_900602145.1,p9.A1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6036007,Contig
GCF_900602135.1,p8.H4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6129845,Contig
GCF_900602125.1,p8.H6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5959580,Contig
GCF_900602105.1,p8.H7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5903482,Contig
GCF_900602095.1,p9.A10,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5991743,Contig
GCF_900602085.1,p8.H8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6016781,Contig
GCF_900602075.1,p9.A2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6029614,Contig
GCF_900602065.1,p8.G8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6179135,Contig
GCF_900602055.1,p8.H3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6716998,Contig
GCF_900602045.1,p8.G9,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6692279,Contig
GCF_900602035.1,p8.G3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6118394,Contig
GCF_900602025.1,p8.G7,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6079663,Contig
GCF_900602015.1,p8.H1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6099824,Contig
GCF_900602005.1,p8.H2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6343263,Contig
GCF_900601985.1,p8.G4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5996338,Contig
GCF_900601975.1,p8.G6,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5918882,Contig
GCF_900601965.1,p8.F2,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6004133,Contig
GCF_900601955.1,p8.F3,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5982695,Contig
GCF_900601945.1,p8.F8,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6087304,Contig
GCF_900601935.1,p8.F4,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,5979734,Contig
GCF_900601925.1,p8.F1,33069,136849,Pseudomonas viridiflava,,Pseudomonas viridiflava,2018-11-01,6014634,Contig
